Date,Sales
2023-01-01,214
2023-01-02,219
2023-01-03,303
2023-01-04,489
2023-01-05,477
2023-01-06,245
2023-01-07,151
2023-01-08,363
2023-01-09,347
2023-01-10,289
2023-01-11,171
2023-01-12,428
2023-01-13,270
2023-01-14,496
2023-01-15,359
2023-01-16,416
2023-01-17,219
2023-01-18,201
2023-01-19,295
2023-01-20,491
2023-01-21,88
2023-01-22,385
2023-01-23,90
2023-01-24,174
2023-01-25,255
2023-01-26,425
2023-01-27,303
2023-01-28,404
2023-01-29,223
2023-01-30,197
2023-01-31,479
2023-02-01,201
2023-02-02,243
2023-02-03,107
2023-02-04,497
2023-02-05,419
2023-02-06,427
2023-02-07,56
2023-02-08,153
2023-02-09,478
2023-02-10,247
2023-02-11,314
2023-02-12,460
2023-02-13,174
2023-02-14,414
2023-02-15,190
2023-02-16,216
2023-02-17,463
2023-02-18,402
2023-02-19,330
2023-02-20,477
2023-02-21,368
2023-02-22,340
2023-02-23,81
2023-02-24,370
2023-02-25,453
2023-02-26,298
2023-02-27,215
2023-02-28,294
2023-03-01,212
2023-03-02,176
2023-03-03,398
2023-03-04,168
2023-03-05,58
2023-03-06,118
2023-03-07,426
2023-03-08,407
2023-03-09,177
2023-03-10,113
2023-03-11,228
2023-03-12,499
2023-03-13,80
2023-03-14,429
2023-03-15,334
2023-03-16,213
2023-03-17,497
2023-03-18,197
2023-03-19,326
2023-03-20,72
2023-03-21,165
2023-03-22,293
2023-03-23,247
2023-03-24,461
2023-03-25,61
2023-03-26,433
2023-03-27,497
2023-03-28,389
2023-03-29,352
2023-03-30,272
2023-03-31,204
2023-04-01,447
2023-04-02,241
2023-04-03,402
2023-04-04,425
2023-04-05,158
2023-04-06,76
2023-04-07,124
2023-04-08,341
2023-04-09,113
2023-04-10,455
2023-04-11,441
2023-04-12,81
2023-04-13,406
2023-04-14,222
2023-04-15,182
2023-04-16,491
2023-04-17,348
2023-04-18,434
2023-04-19,333
2023-04-20,446
2023-04-21,138
2023-04-22,261
2023-04-23,193
2023-04-24,150
2023-04-25,212
2023-04-26,56
2023-04-27,499
2023-04-28,136
2023-04-29,69
2023-04-30,323
2023-05-01,216
2023-05-02,236
2023-05-03,447
2023-05-04,281
2023-05-05,388
2023-05-06,158
2023-05-07,459
2023-05-08,115
2023-05-09,102
2023-05-10,332
2023-05-11,401
2023-05-12,194
2023-05-13,356
2023-05-14,360
2023-05-15,223
2023-05-16,146
2023-05-17,98
2023-05-18,76
2023-05-19,275
2023-05-20,94
2023-05-21,277
2023-05-22,132
2023-05-23,424
2023-05-24,203
2023-05-25,489
2023-05-26,430
2023-05-27,103
2023-05-28,355
2023-05-29,195
2023-05-30,483
2023-05-31,419
2023-06-01,479
2023-06-02,242
2023-06-03,121
2023-06-04,240
2023-06-05,165
2023-06-06,318
2023-06-07,52
2023-06-08,393
2023-06-09,477
2023-06-10,397
2023-06-11,363
2023-06-12,126
2023-06-13,390
2023-06-14,71
2023-06-15,108
2023-06-16,198
2023-06-17,368
2023-06-18,83
2023-06-19,79
2023-06-20,345
2023-06-21,93
2023-06-22,432
2023-06-23,480
2023-06-24,87
2023-06-25,298
2023-06-26,197
2023-06-27,223
2023-06-28,369
2023-06-29,335
2023-06-30,449
2023-07-01,373
2023-07-02,179
2023-07-03,199
2023-07-04,86
2023-07-05,204
2023-07-06,291
2023-07-07,221
2023-07-08,301
2023-07-09,352
2023-07-10,61
2023-07-11,239
2023-07-12,357
2023-07-13,225
2023-07-14,299
2023-07-15,77
2023-07-16,175
2023-07-17,230
2023-07-18,340
2023-07-19,242
2023-07-20,369
2023-07-21,356
2023-07-22,425
2023-07-23,198
2023-07-24,393
2023-07-25,359
2023-07-26,470
2023-07-27,407
2023-07-28,97
2023-07-29,419
2023-07-30,483
2023-07-31,132
2023-08-01,272
2023-08-02,217
2023-08-03,294
2023-08-04,246
2023-08-05,354
2023-08-06,364
2023-08-07,497
2023-08-08,286
2023-08-09,186
2023-08-10,465
2023-08-11,425
2023-08-12,123
2023-08-13,405
2023-08-14,201
2023-08-15,205
2023-08-16,145
2023-08-17,400
2023-08-18,177
2023-08-19,333
2023-08-20,139
2023-08-21,345
